repo_id,repo_name,organization,category,subcategory,popularity_tier,stars,forks,watchers,open_issues,closed_issues,open_pull_requests,merged_pull_requests,contributors_count,total_commits,primary_language,secondary_languages,framework_dependency,license_type,first_commit_date,last_commit_date,repo_age_days,is_actively_maintained,monthly_downloads,monthly_active_users,release_count,avg_issue_response_hours,code_size_kb,has_documentation,has_ci_cd,has_docker_support,has_unit_tests,has_changelog,has_arxiv_paper,has_live_demo,has_api,has_cli,has_gui,readme_quality,community_sentiment_score,package_manager,minimum_python_version,hardware_requirement,cloud_integration,repo_health_score
R00012,next-data-kit,startup-47,Reinforcement Learning,Game AI,viral,75895,3909,1613,1057,11072,219,2393,214,9832,Rust,Go|Lua|Java,PyTorch,GPL-3.0,2016-03-14,2024-08-09,3070,False,87660,4870,73,246.9,832,True,True,False,True,True,False,True,True,False,False,Good,0.861,brew,N/A,Multi-GPU,Together AI,84.1
R00013,genai,startup-46,Computer Vision,Image Segmentation,niche,249,32,6,3,40,1,17,1,14,Python,None,JAX,MIT,2022-10-01,2023-09-01,335,False,1279,116,3,83.2,157,True,True,False,False,False,False,False,True,True,False,Poor,0.867,npm,3.12+,TPU,Multi-cloud,32.2
R00014,flow-flow,startup-8,Natural Language Processing,Machine Translation,viral,43981,14607,3376,724,1593,82,2391,323,4237,Go,None,Keras,MIT,2018-09-22,2023-06-04,1716,False,276638,40086,30,134.0,1753,True,True,False,False,True,False,True,True,False,False,Excellent,0.669,pip+conda,N/A,CUDA GPU,Hugging Face,71.9
R00015,dyna-audio-cpp,indie-dev-70,Audio & Speech,Speaker Diarization,moderate,1906,630,111,21,209,6,141,3,26,Python,TypeScript|Scala,Triton,MIT,2019-06-26,2025-07-30,2226,True,6019,647,56,11.1,1481,True,True,False,True,False,False,False,False,True,False,Excellent,0.629,cargo,3.12+,CPU+GPU,Hugging Face,73.2
R00016,audiospark,indie-dev-20,Audio & Speech,Voice Cloning,new,30,8,1,9,122,4,53,21,558,Python,Lua|Julia,JAX,MIT,2022-06-10,2023-03-22,285,False,172,10,1,182.4,476,False,True,False,True,False,False,False,True,True,False,Average,0.393,brew,3.11+,Apple Silicon,Modal,32.2
R00017,prune-base,indie-dev-12,Large Language Models,Fine-tuning Tools,niche,361,21,4,7,25,2,20,1,11,C++,R,PyTorch,Unlicense,2020-10-12,2024-08-01,1389,False,1231,119,46,554.7,2567,True,True,False,False,False,False,False,False,False,False,Good,0.844,pip,N/A,CUDA GPU,GCP,43.6
R00018,netlib,langchain-ai,Generative AI,3D Generation,new,11,3,0,3,6,3,87,1,10,Python,C|Scala|Java,Triton,CC-BY-4.0,2021-04-02,2022-09-24,540,False,29,39,10,216.3,118,False,False,False,False,False,False,False,False,False,False,Good,0.433,brew,3.12+,CPU+GPU,Multi-cloud,14.3
R00019,easy-audio-js,indie-dev-25,MLOps & Infrastructure,Pipeline Orchestration,moderate,1987,525,111,63,626,1,13,2,37,Python,Lua|TypeScript,None/Custom,MIT,2018-08-02,2024-09-21,2242,False,3672,426,39,209.7,164,True,True,False,True,False,False,False,False,False,False,Good,0.711,docker-only,3.10+,CPU,Replicate,58.3
R00020,rlbox,indie-dev-64,Graph & Geometric ML,Knowledge Graphs,niche,163,29,6,4,10,3,43,1,37,Python,R|Zig|Kotlin,None/Custom,LGPL-3.0,2017-06-17,2020-08-07,1147,False,518,67,7,543.5,870,False,False,False,False,False,False,True,True,False,False,Good,0.75,brew,3.9+,Apple Silicon,Hugging Face,12.8
R00021,poly-prompt-cpp,startup-33,Data Engineering,Synthetic Data,viral,53092,11984,4025,345,3137,305,8703,58,1875,Python,Go|R,PyTorch,Proprietary,2015-12-02,2021-04-10,1956,False,247142,33796,25,159.1,236,True,True,True,True,False,False,True,True,False,False,Good,0.689,conda,3.9+,Apple Silicon,Azure,79.8
R00022,auto-grad-ai,research-lab-33,Reinforcement Learning,Policy Optimization,new,20,1,1,6,66,0,0,1,12,Rust,None,PyTorch,BSD-3-Clause,2019-03-18,2023-09-27,1654,False,86,19,12,224.7,1431,False,False,True,False,False,True,False,True,False,False,Poor,0.61,brew,N/A,CPU+GPU,GCP,18.3
R00023,tokenpulse,THUDM,AI Safety & Interpretability,Watermarking,new,18,6,0,8,51,4,113,2,21,Go,Swift|Kotlin,Keras,GPL-3.0,2019-11-19,2021-12-09,751,False,43,20,13,291.0,1327,False,False,True,False,False,False,False,True,True,False,Good,0.761,source-only,N/A,CUDA GPU,None,18.6
R00024,micro-opt-cpp,indie-dev-72,Generative AI,Diffusion Models,moderate,1764,562,65,67,524,6,73,7,72,Python,Zig|Go|Lua,TensorFlow,BSD-3-Clause,2017-02-21,2018-03-08,380,False,17656,2036,6,92.4,1062,True,True,True,False,False,False,False,False,True,False,Average,0.718,docker-only,3.11+,Apple Silicon,None,37.6
R00025,mini-model-py,startup-10,Audio & Speech,Speech Recognition,popular,6285,1350,257,96,318,24,170,24,583,C++,Swift|Julia|Lua,JAX,AGPL-3.0,2021-01-03,2025-05-12,1590,False,12224,1528,13,186.0,660,True,False,False,True,True,False,False,True,True,True,Good,0.503,brew,N/A,CUDA GPU,GCP,52.4
R00026,swift-code,indie-dev-52,AI Safety & Interpretability,Red Teaming,new,14,4,1,1,3,2,48,1,33,C,Java,TensorFlow,GPL-3.0,2018-10-27,2020-12-20,785,False,5,43,7,368.3,497,True,True,False,True,False,True,False,False,False,False,Average,0.364,brew,N/A,TPU,None,42.9
R00027,JSTB,startup-15,Graph & Geometric ML,Graph Neural Networks,popular,8828,752,489,81,462,21,561,66,2483,Python,None,PyTorch,MIT,2017-05-01,2024-06-05,2592,False,33136,673,38,169.1,533,True,True,True,True,True,False,False,False,False,False,Poor,1.0,cargo,3.12+,CPU+GPU,Replicate,77.8
R00028,rapid-net,startup-31,Large Language Models,Prompt Engineering,niche,323,60,17,14,78,0,0,3,50,Python,None,JAX,Unlicense,2016-08-05,2017-06-23,322,False,115,10,1,129.2,772,False,True,False,True,False,True,False,True,False,False,Average,0.806,pip,3.10+,AMD ROCm,GCP,30.2
R00029,diff-craft,research-lab-7,Natural Language Processing,Question Answering,moderate,2580,834,174,58,860,4,35,4,180,TypeScript,Swift|Julia|C++,CUDA,Apache-2.0,2015-06-14,2024-02-02,3155,False,1395,203,41,330.6,698,False,False,False,False,False,True,False,True,False,False,Good,0.352,pip,N/A,CPU+GPU,Modal,29.9
R00030,lite-agent,startup-17,Audio & Speech,Speech Recognition,moderate,1220,81,86,8,62,3,24,6,92,Go,Swift|Kotlin|Python,PyTorch,Apache-2.0,2019-07-14,2025-05-20,2137,False,4127,173,44,217.3,3178,False,False,False,True,False,False,False,False,True,False,Average,0.596,npm,N/A,CUDA GPU,None,36.9
R00031,RNC,indie-dev-58,MLOps & Infrastructure,Model Serving,niche,243,50,15,10,133,2,30,3,46,Go,Julia|C|Lua,PyTorch,LGPL-3.0,2016-04-26,2023-08-31,2683,False,1389,150,22,333.0,331,False,True,False,True,False,False,False,False,True,False,Good,0.46,docker-only,N/A,CPU+GPU,AWS,45.1
R00032,uni-doc-craft,startup-41,Graph & Geometric ML,Molecular ML,niche,490,157,16,15,198,0,0,8,125,Python,Zig|C|Kotlin,TensorFlow,Apache-2.0,2016-08-31,2021-10-03,1859,False,267,19,20,163.4,811,True,False,False,True,False,True,False,False,False,False,Average,0.888,brew,3.9+,CPU+GPU,AWS,46.1
R00033,prune-craft,startup-43,Audio & Speech,Speech Recognition,moderate,983,71,18,6,81,1,16,6,51,Python,None,PyTorch,MIT,2024-06-23,2025-03-05,255,False,1100,40,1,216.2,255,False,False,True,False,False,False,False,True,True,False,Average,0.505,pip,3.11+,Apple Silicon,GCP,12.6
R00034,code-rs,prefecthq,Computer Vision,3D Vision,moderate,1620,325,94,14,174,2,47,4,68,C++,Lua,PyTorch,MIT,2023-07-12,2025-05-20,678,False,2859,176,31,126.0,344,True,True,False,False,False,False,False,True,True,False,Good,0.626,cargo,N/A,Multi-GPU,Modal,47.9
R00035,HOU,indie-dev-5,Reinforcement Learning,Environments & Simulators,niche,114,6,3,9,30,3,48,1,18,Swift,None,PyTorch,Apache-2.0,2022-06-24,2022-08-12,49,False,1047,88,0,112.0,399,True,False,False,False,False,False,False,True,False,False,Average,0.713,docker-only,N/A,AMD ROCm,None,18.0
R00036,flex-tune,research-lab-4,Reinforcement Learning,Game AI,moderate,1351,116,97,25,306,1,18,2,82,TypeScript,None,MLX,BSD-3-Clause,2024-09-13,2025-09-29,381,True,4039,372,10,16.9,313,False,False,False,True,False,True,False,True,False,False,Average,0.62,conda,N/A,CUDA GPU,AWS,44.6
R00037,omni-guard-ml,startup-7,Graph & Geometric ML,Point Cloud Processing,moderate,2534,397,200,37,122,4,36,58,375,Swift,C++|TypeScript,PyTorch,Apache-2.0,2016-06-22,2017-07-26,399,False,4065,146,3,111.0,24,False,True,False,False,False,False,False,False,False,False,Excellent,0.823,npm,N/A,CPU,Multi-cloud,30.8
R00038,genstudio,meta-llama,Computer Vision,3D Vision,new,22,7,1,3,12,3,65,1,10,Python,None,PyTorch,Apache-2.0,2017-12-19,2024-01-24,2227,False,140,19,65,466.7,1531,False,True,False,False,False,False,False,False,False,False,Good,0.348,pip+conda,3.10+,Multi-GPU,GCP,33.1
R00039,gpt-ml,aws,Reinforcement Learning,Environments & Simulators,moderate,1289,260,34,6,34,1,17,1,17,Java,Julia|R,Triton,BSD-3-Clause,2016-02-03,2018-10-21,991,False,5054,427,8,156.0,242,False,False,False,False,False,False,False,False,True,False,Good,0.834,cargo,N/A,TPU,Hugging Face,17.2
R00040,multi-token,indie-dev-31,Generative AI,Creative AI,niche,339,64,13,2,25,1,9,5,106,Python,None,Triton,Unlicense,2015-09-06,2020-03-23,1660,False,1112,21,47,214.4,433,True,True,False,False,True,False,False,False,True,False,Average,0.737,cargo,3.9+,AMD ROCm,Hugging Face,45.4
R00041,opt-ai,bytedance,Reinforcement Learning,Robotics Control,new,20,1,1,5,33,0,0,1,17,C++,Java,None/Custom,MIT,2021-01-21,2022-07-18,543,False,478,31,13,148.3,222,True,True,True,False,False,False,False,False,False,True,Average,0.054,pip,N/A,AMD ROCm,Together AI,38.6
R00042,easy-bert-ml,indie-dev-49,AI Safety & Interpretability,Red Teaming,moderate,1762,210,128,3,41,2,56,33,814,Python,None,PyTorch,MIT,2022-09-11,2023-05-20,251,False,7042,689,2,108.5,921,False,True,True,False,False,False,False,False,False,False,Excellent,0.907,cargo,3.8+,Multi-GPU,Replicate,27.6
R00043,netflow,indie-dev-42,Audio & Speech,Audio Classification,niche,295,28,9,1,2,2,53,1,24,Python,Java|TypeScript,None/Custom,Apache-2.0,2019-08-31,2020-10-23,419,False,1322,76,3,319.7,299,True,True,False,False,False,True,True,False,False,False,Good,0.637,pip,3.11+,CPU+GPU,None,29.6
R00044,LDSQ,research-lab-28,MLOps & Infrastructure,Feature Stores,niche,389,100,18,1,4,1,15,5,47,Julia,Java|Rust|Go,JAX,Unlicense,2020-05-29,2021-09-30,489,False,2691,200,26,183.9,391,False,False,False,False,False,True,False,False,True,False,Average,0.727,source-only,N/A,Apple Silicon,Hugging Face,24.3
R00045,hyper-infer,tensorflow,Graph & Geometric ML,Molecular ML,new,26,6,1,0,0,0,0,1,10,TypeScript,Swift|Java,PyTorch,Apache-2.0,2016-08-04,2024-12-25,3065,False,124,8,36,184.2,448,True,False,False,False,True,False,True,True,False,False,Average,0.656,docker-only,N/A,TPU,Multi-cloud,25.2
R00046,LND,research-lab-33,Reinforcement Learning,Reward Modeling,popular,9202,2092,349,68,845,28,783,110,1500,Python,Kotlin,CUDA,MIT,2021-08-26,2024-06-17,1026,False,2710,158,6,317.0,82,True,True,False,True,True,True,True,True,True,False,Good,0.681,conda,3.10+,AMD ROCm,Replicate,72.2
R00047,smart-bert,startup-40,AI Safety & Interpretability,Explainability,niche,249,49,9,4,38,0,0,1,13,Python,Kotlin|Julia|C++,TensorFlow,Proprietary,2018-07-06,2025-01-18,2388,False,1252,38,24,112.7,500,True,False,False,False,False,False,True,True,False,True,Poor,0.744,cargo,3.10+,Multi-GPU,Hugging Face,34.6
R00048,audio-stack,indie-dev-70,Computer Vision,Super Resolution,niche,276,31,20,1,2,3,19,1,10,Python,None,ONNX,MIT,2017-03-05,2021-03-05,1461,False,273,32,3,336.4,41,True,True,True,True,False,True,False,False,False,False,Average,0.534,source-only,3.12+,Multi-GPU,Hugging Face,39.6
R00049,guard-x,research-lab-21,AI Safety & Interpretability,Red Teaming,niche,239,73,18,1,10,0,0,1,10,Rust,Julia,TensorFlow,MIT,2018-05-25,2021-07-23,1155,False,668,73,13,160.7,214,True,True,False,False,True,False,False,False,False,False,Excellent,0.611,cargo,N/A,CPU+GPU,Hugging Face,39.4
R00050,QEBO,startup-2,Computer Vision,Face Recognition,niche,222,54,5,1,11,1,14,1,12,C++,Swift|Mojo|C,JAX,MIT,2015-12-12,2021-09-07,2096,False,857,88,13,120.9,67,True,True,False,True,False,False,False,True,True,False,Good,0.985,npm,N/A,Multi-GPU,Hugging Face,49.5
R00051,swift-infer,research-lab-27,Audio & Speech,Music Generation,new,20,2,0,4,40,4,60,2,11,C++,Kotlin|R|Java,Keras,BSD-3-Clause,2022-10-31,2025-02-09,832,False,109,9,6,69.9,1604,False,False,False,False,False,False,False,True,True,False,Poor,0.494,cargo,N/A,TPU,Multi-cloud,13.8
R00052,infer-x,indie-dev-69,Reinforcement Learning,Game AI,new,21,2,1,1,3,5,129,1,10,Python,None,PyTorch,Apache-2.0,2023-08-24,2025-03-28,582,False,132,19,6,88.2,70,True,False,False,False,True,False,False,False,True,False,Good,0.61,cargo,3.11+,Multi-GPU,Together AI,22.1
R00053,doc-base,research-lab-33,MLOps & Infrastructure,Model Monitoring,niche,415,46,4,8,78,0,0,3,52,Python,C|Mojo,TensorFlow,MIT,2021-05-25,2023-12-13,932,False,2073,142,2,203.5,329,True,False,False,True,False,False,False,False,False,True,Excellent,0.75,brew,3.10+,CUDA GPU,Together AI,31.7
R00054,bench-x,startup-46,MLOps & Infrastructure,Hyperparameter Tuning,niche,215,29,7,4,37,2,56,1,10,Python,Go|Kotlin,CUDA,Apache-2.0,2018-12-02,2019-04-20,139,False,475,53,0,227.6,496,True,False,False,False,False,True,False,False,False,True,Average,0.621,pip,3.12+,TPU,GCP,19.6
R00055,micro-graph,startup-6,Large Language Models,Agents & Tool Use,niche,435,35,6,15,164,0,0,1,14,Python,None,PyTorch,MIT,2021-10-29,2024-11-12,1110,False,874,106,21,97.5,60,True,False,False,True,False,False,False,False,False,False,Good,0.892,source-only,3.12+,CPU,Multi-cloud,45.1
R00056,FVVC,tensorflow,Generative AI,VAEs,popular,8735,921,418,133,1660,33,865,71,1337,Python,None,JAX,Apache-2.0,2020-11-24,2024-01-12,1144,False,75804,3407,12,78.3,1335,True,True,False,True,True,False,True,False,False,False,Average,0.74,pip,3.9+,Apple Silicon,Hugging Face,72.8
R00057,UFYV,indie-dev-62,AI Safety & Interpretability,Watermarking,popular,5840,1911,455,94,1241,9,231,67,981,Go,Python|Julia,PyTorch,AGPL-3.0,2022-01-31,2023-03-10,403,False,42515,645,6,83.2,143,True,True,True,True,False,False,True,False,True,False,Excellent,0.912,source-only,N/A,Multi-GPU,None,62.2
R00058,omni-token,startup-10,Data Engineering,Data Cleaning,niche,255,54,16,0,0,0,0,1,27,Python,Swift|Java|C,PyTorch,MIT,2019-12-07,2024-05-07,1613,False,1373,180,18,240.0,2169,True,True,False,True,False,True,False,True,False,False,Good,0.617,brew,3.10+,TPU,AWS,44.1
R00059,pro-bench-cpp,research-lab-31,Natural Language Processing,Sentiment Analysis,niche,500,156,39,13,97,0,0,1,11,Python,None,ONNX,Proprietary,2022-02-24,2024-07-04,861,False,3317,197,5,101.6,49,True,False,False,True,True,False,False,True,False,False,Average,0.539,brew,3.10+,Apple Silicon,GCP,33.7
R00060,QLM,indie-dev-11,Audio & Speech,Speaker Diarization,niche,407,135,17,5,74,1,17,1,10,Python,Kotlin|C|C++,PyTorch,MIT,2017-10-19,2019-02-25,494,False,6176,261,3,129.7,973,True,False,True,False,False,True,False,False,False,False,Excellent,0.627,source-only,3.10+,Multi-GPU,GCP,22.5
R00061,JJFWW,indie-dev-70,Large Language Models,Model Merging,moderate,3000,776,62,46,225,19,370,9,96,Lua,None,PyTorch,Apache-2.0,2017-07-07,2018-12-16,527,False,22990,524,8,140.1,959,True,False,False,False,True,False,True,True,False,False,Good,0.883,conda,N/A,TPU,Azure,31.2
R00062,meta-audio-core,indie-dev-72,AI Safety & Interpretability,Watermarking,niche,256,41,7,8,24,1,6,1,14,Java,None,ONNX,MIT,2018-11-12,2020-05-20,555,False,265,34,3,29.5,2124,False,True,False,True,True,False,False,True,False,False,Poor,0.771,conda,N/A,Apple Silicon,None,30.4
R00063,gen-cpp,research-lab-17,Large Language Models,Prompt Engineering,moderate,2298,298,164,49,639,5,129,50,1068,Python,TypeScript|Mojo|R,ONNX,CC-BY-4.0,2020-12-25,2021-08-03,221,False,14092,1516,6,278.2,229,True,False,True,False,True,False,False,True,True,False,Average,0.792,docker-only,3.11+,CPU,None,33.4
R00064,tensorspark,indie-dev-56,Data Engineering,Synthetic Data,new,23,3,1,1,12,1,17,1,18,Python,Java,ONNX,Apache-2.0,2015-10-26,2023-08-15,2850,False,46,45,32,184.8,97,True,False,False,True,False,False,True,True,True,False,Excellent,0.649,pip+conda,3.10+,CPU,Replicate,44.4
R00065,serve-forge,replicate,Graph & Geometric ML,Point Cloud Processing,niche,500,41,31,5,32,1,7,2,41,Python,Julia|Swift,PyTorch,Proprietary,2023-07-23,2024-02-01,193,False,1807,255,2,134.4,1813,False,False,True,True,True,False,False,False,False,False,Poor,0.566,docker-only,3.9+,TPU,Hugging Face,21.3
R00066,tokenml,research-lab-5,Data Engineering,Data Labeling,popular,4363,1030,57,30,69,19,419,47,878,Python,C|Swift,None/Custom,MIT,2021-04-20,2022-06-22,428,False,12256,887,1,81.4,847,False,True,True,False,True,False,True,False,False,False,Average,0.645,pip,3.8+,AMD ROCm,AWS,31.1
R00067,embed-base,lm-sys,Generative AI,3D Generation,niche,430,56,32,1,14,2,29,6,78,Python,None,PyTorch,Apache-2.0,2021-10-19,2024-10-08,1085,False,442,21,13,164.2,374,False,False,False,False,False,False,False,False,True,False,Excellent,0.773,docker-only,3.12+,TPU,AWS,20.5
R00068,IUZY,crewai-inc,Graph & Geometric ML,Geometric Deep Learning,moderate,1802,289,127,17,75,4,97,7,142,Rust,Lua|Scala|Kotlin,PyTorch,BSD-3-Clause,2023-02-02,2023-04-25,82,False,8535,1094,2,231.7,632,True,False,True,True,False,False,False,True,False,False,Poor,0.826,pip,N/A,Multi-GPU,Azure,34.0
R00069,RKV,indie-dev-36,AI Safety & Interpretability,Guardrails,new,16,1,0,14,117,4,26,1,10,Python,R|Mojo|Lua,PyTorch,Apache-2.0,2018-07-09,2020-07-17,739,False,34,15,11,75.8,233,True,True,False,False,False,False,False,False,False,False,Poor,0.699,docker-only,3.10+,Multi-GPU,GCP,37.3
R00070,RMMLY,databricks,Large Language Models,Prompt Engineering,niche,229,52,6,3,36,0,0,1,24,Python,Lua|Swift,PyTorch,Unlicense,2018-03-24,2019-03-12,353,False,388,17,3,558.3,938,True,False,True,True,False,True,True,False,True,False,Excellent,0.987,conda,3.11+,Apple Silicon,Azure,32.0
R00071,rapid-serve,startup-45,Data Engineering,Dataset Management,viral,73367,5602,2534,602,5645,240,2400,71,583,Python,Java|Julia,ONNX,CC-BY-4.0,2024-11-06,2025-08-06,273,True,410508,13730,1,29.9,4398,True,True,True,True,False,False,True,False,True,False,Missing,0.774,npm,3.11+,TPU,None,81.9
R00072,open-doc,dmlc,Graph & Geometric ML,Geometric Deep Learning,new,35,5,2,14,110,5,105,1,33,Python,Mojo,JAX,MIT,2018-10-04,2022-01-11,1195,False,127,10,15,139.7,144,False,True,False,False,False,True,False,True,False,False,Average,0.394,pip+conda,3.11+,Multi-GPU,Together AI,30.3
R00073,deep-tune-spark,ibm-research,Computer Vision,Image Generation,new,24,5,1,7,32,0,0,5,76,Python,Java|Julia,JAX,GPL-3.0,2020-05-09,2022-04-01,692,False,81,16,2,147.7,807,False,False,True,True,False,False,False,False,False,False,Excellent,0.629,cargo,3.10+,Apple Silicon,Multi-cloud,20.3
R00074,merge-kit,research-lab-15,AI Safety & Interpretability,Watermarking,niche,130,20,10,5,57,5,85,1,10,Python,Zig|R|Go,None/Custom,BSD-3-Clause,2019-03-11,2023-12-08,1733,False,76,38,31,126.2,620,False,True,False,False,True,False,True,False,False,False,Excellent,0.8,brew,3.12+,Apple Silicon,GCP,34.6
R00075,grad-base,indie-dev-54,Computer Vision,Super Resolution,niche,166,44,3,1,14,3,28,1,17,Python,Rust|C|Swift,ONNX,Apache-2.0,2024-01-26,2024-04-21,86,False,254,32,0,73.6,414,True,True,True,True,True,False,False,False,True,False,Missing,0.879,docker-only,3.8+,TPU,Replicate,39.8
R00076,train-pulse,startup-48,Data Engineering,Synthetic Data,niche,435,43,16,9,108,0,0,1,10,Java,None,TensorFlow,BSD-3-Clause,2019-04-16,2024-05-26,1867,False,993,33,24,58.9,366,False,True,False,True,True,False,False,False,True,True,Excellent,0.905,brew,N/A,Apple Silicon,Together AI,45.2
R00077,rlops,indie-dev-57,MLOps & Infrastructure,Data Versioning,moderate,3000,300,65,128,1660,7,186,29,358,Python,None,None/Custom,MIT,2018-11-18,2020-09-13,665,False,32982,1280,5,142.7,529,False,True,False,False,True,False,True,True,False,False,Excellent,0.617,pip+conda,3.8+,Multi-GPU,Modal,31.9
R00078,rl-py,indie-dev-68,Natural Language Processing,Machine Translation,new,33,4,1,10,79,4,71,1,25,Rust,None,PyTorch,Apache-2.0,2018-03-30,2020-12-13,989,False,139,10,13,108.7,162,True,False,True,True,True,False,False,False,False,False,Good,0.629,pip+conda,N/A,Apple Silicon,Together AI,38.8
R00079,cross-eval-flow,indie-dev-36,Large Language Models,Prompt Engineering,niche,214,66,4,3,42,0,0,4,101,Python,Julia,Flax,MIT,2017-01-23,2025-08-09,3120,True,4759,626,36,16.8,633,True,True,False,False,False,True,False,True,True,False,Good,0.787,pip,3.9+,AMD ROCm,None,60.2
R00080,optwave,replicate,Natural Language Processing,Sentiment Analysis,niche,355,59,19,2,29,1,24,1,17,C++,Go|Java,PyTorch,CC-BY-4.0,2024-01-09,2025-10-01,631,True,827,73,8,37.7,66,True,True,False,False,False,False,False,False,False,False,Good,0.58,pip+conda,N/A,Apple Silicon,Modal,51.2
R00081,LJILQ,prefecthq,AI Safety & Interpretability,Red Teaming,niche,349,100,14,3,27,0,0,3,41,TypeScript,Java,PyTorch,MIT,2024-01-02,2025-05-26,510,False,202,13,4,77.3,105,False,False,True,False,False,False,False,True,True,False,Good,0.63,source-only,N/A,AMD ROCm,None,13.0
R00082,quantcore,CohereForAI,Large Language Models,Model Merging,popular,15000,3537,636,119,1041,23,311,168,4541,Python,R|Rust|C,PyTorch,LGPL-3.0,2016-07-27,2024-09-23,2980,False,44111,2789,11,346.1,8175,False,True,False,True,False,True,False,True,False,False,Average,0.829,brew,3.12+,Multi-GPU,Modal,67.2
R00083,open-rl,meta-llama,Generative AI,3D Generation,niche,348,117,3,4,20,0,0,3,70,C++,Python|C,Keras,BSD-3-Clause,2015-03-10,2021-03-16,2198,False,1815,141,13,108.7,1603,False,False,True,True,True,False,False,False,True,False,Good,0.627,brew,N/A,TPU,Multi-cloud,29.1
R00084,doc-spark,wandb,Computer Vision,Object Detection,niche,397,105,11,3,13,0,0,1,10,Python,Rust|Lua|TypeScript,PyTorch,LGPL-3.0,2019-07-19,2023-11-18,1583,False,2066,225,10,182.0,2674,False,True,False,False,False,False,False,False,False,False,Good,0.709,pip,3.10+,CPU,Azure,26.5
